,Amount (INR),Day,Hour,Minute,Sender,Receiver
258338,7502.23,17,9,43,0,0
71209,6308.56,30,21,29,0,0
325219,8567.53412484219,18,12,53,2,0
366865,4264.721526801905,6,15,50,0,1
277223,461.49,28,19,40,3,1
87325,4143.71,8,8,7,0,2
434974,8827.892637302206,15,9,30,0,3
267835,1797.86,1,4,26,4,0
158849,8503.55,23,9,9,0,0
177636,9631.05,7,19,3,0,0
290461,6087.73,29,19,23,0,0
362756,7741.300037187113,6,23,5,0,0
165070,6558.98,12,10,5,0,0
130317,6052.47,20,1,30,4,0
276334,9573.31,16,7,41,0,0
376064,8168.321957688331,25,4,45,0,1
363025,7499.889327091887,28,9,23,0,0
168104,7549.31,1,22,46,0,0
12060,9227.17,1,7,20,0,0
11830,8898.19,21,19,29,0,0
313464,1958.5213961831325,4,14,53,0,0
20665,4941.96,20,1,24,4,0
34572,5746.35,4,7,12,0,0
15187,3963.82,28,15,4,0,0
405438,5717.526481582678,21,18,9,0,0
373095,381.6097158651554,5,5,57,0,0
444503,2385.557736810131,5,4,50,0,0
217651,2191.88,1,19,44,1,0
75209,467.58,8,2,9,0,0
402215,9372.715502457226,19,20,39,0,0
184318,430.96,18,5,39,0,0
170746,5876.82,11,5,17,0,0
247999,1445.39,9,15,57,0,0
199940,6006.47,12,6,52,0,0
214536,6455.24,26,23,40,0,0
241206,2753.58,16,18,19,0,0
190217,4818.98,23,23,47,0,0
256500,947.31,8,14,51,0,0
414755,6716.93371870625,2,15,26,0,0
391934,5616.0958255302185,14,1,35,0,0
338805,5847.112985866955,15,22,4,0,0
447220,1204.2391147443932,25,0,17,0,0
413300,7209.443583027421,17,21,10,0,1
170516,1946.22,17,17,47,2,0
393751,6697.586619968668,14,5,50,0,0
42305,2393.6,28,15,44,0,0
227790,2872.98,18,8,34,0,0
171485,6123.62,6,8,31,0,0
199976,9883.75,3,0,23,0,0
352242,3584.5053551429087,19,5,46,0,0
178390,1295.01,1,6,25,0,4
334323,2633.998571684738,20,16,37,0,0
460470,3337.298079280147,25,12,50,0,0
229803,7241.44,5,2,32,0,0
187608,2092.03,27,18,50,0,0
169251,4400.47,28,0,0,0,0
206619,8732.28,9,10,46,0,0
320037,1465.4700845640048,27,1,45,0,0
11378,8219.4,8,1,37,0,0
185713,7822.94,1,11,59,0,0
28571,7589.89,21,13,25,0,0
