,Status
367580,0
257440,1
163824,1
64943,1
202701,1
138436,1
433206,0
145647,1
189344,1
123095,1
180572,1
16513,1
343540,0
212611,1
275083,0
137544,1
40412,0
5318,0
54200,0
123799,1
344152,0
383548,0
281173,1
188955,1
245468,1
434058,0
266422,0
377487,0
85175,1
221324,1
297592,1
297989,0
450107,0
127160,1
318346,0
46444,1
148551,1
367434,0
436022,0
383504,0
378335,0
337283,0
190652,1
188925,1
272302,1
142303,0
400021,0
143761,1
79851,1
362474,0
318492,0
354697,0
266026,1
48482,1
426981,0
311025,0
383757,0
209024,1
304661,0
388966,0
413675,0
234071,1
66716,1
15415,1
326530,0
154696,1
424290,0
301041,0
397504,0
352953,0
416657,0
25304,1
412436,0
393978,0
379505,0
188748,1
280577,1
322215,0
283890,1
319284,0
258540,1
80094,1
288919,1
1937,1
167981,1
228699,1
4973,1
170791,0
373309,0
411455,0
83760,1
292026,1
45022,1
45357,1
234913,1
174873,0
18244,1
364858,0
254817,1
316378,0
249486,1
448290,0
136344,1
95195,0
401374,0
158589,1
452718,0
137281,1
11025,1
347163,0
328294,0
71348,0
112448,1
353466,0
37998,1
218751,0
14069,1
161316,1
281513,0
385231,0
373329,0
286228,0
447701,0
263407,0
266347,0
96256,1
60022,1
157196,1
242535,1
455381,0
192926,1
96079,1
235707,1
180521,0
37415,1
91095,1
393707,0
154243,1
46902,1
78708,1
382720,0
168811,1
203450,0
196193,1
420357,0
45707,1
456532,0
389392,0
29923,1
356556,0
370964,0
90445,1
74228,1
399008,0
426990,0
219552,0
83358,0
126217,1
122637,1
456606,0
282282,1
377163,0
218776,1
252981,1
366405,0
348410,0
55052,0
219911,1
17723,1
355199,0
231204,1
264459,0
274421,1
30463,1
95528,1
281632,1
100352,1
100456,1
377277,0
228011,1
71925,1
13716,1
366063,0
308513,0
126799,1
302583,0
182826,1
47268,1
411836,0
226435,1
151347,0
389309,0
223549,1
388451,0
43824,0
189515,1
263693,1
82917,1
433293,0
203175,0
445367,0
308012,0
405731,0
75467,1
15403,0
375218,0
438903,0
420630,0
263746,1
447923,0
395726,0
364626,0
151868,1
397375,0
18566,1
288747,1
365611,0
426104,0
18464,1
85757,0
282200,1
172954,1
288741,1
287700,1
268483,1
238292,1
422815,0
77023,1
315720,0
268719,1
49690,1
412896,0
129856,1
103791,0
253348,1
130293,1
396251,0
187918,1
390363,0
27224,1
33268,1
309386,0
436382,0
197033,1
228697,0
433289,0
103883,1
146767,1
177547,0
449754,0
121483,0
409869,0
127778,1
281620,1
97740,1
123136,1
438537,0
365568,0
169389,1
366757,0
448395,0
322952,0
177943,1
346313,0
91451,0
83539,1
25848,0
173891,1
115389,1
342766,0
175981,1
35500,1
168005,1
343145,0
167396,0
418578,0
292665,0
58828,1
419486,0
209860,1
305971,0
243151,1
399690,0
318713,0
127032,1
216434,1
194497,0
452093,0
115967,1
116223,1
3532,0
120299,0
161927,1
97992,1
82869,1
416805,0
412506,0
160233,1
456866,0
258304,1
199696,0
320029,0
152767,0
158662,1
266190,1
352150,0
123209,1
26403,1
220915,0
411366,0
5918,1
437556,0
41511,1
372976,0
333130,0
123215,1
183522,0
50845,0
160677,1
176134,1
158557,1
111837,1
459671,0
110042,1
215079,0
242323,1
242634,1
19959,1
231058,1
24473,1
69876,1
145556,1
172193,1
37950,1
131193,1
63835,1
349502,0
423887,0
385677,0
410990,0
406857,0
153793,1
54298,1
258211,1
283973,1
432031,0
117379,0
358764,0
123374,0
131064,1
438940,0
334482,0
378762,0
385614,0
36430,1
96091,0
411283,0
287054,0
362951,0
405054,0
197112,1
379982,0
346016,0
430140,0
375225,0
238777,0
132667,1
218089,1
444289,0
168134,1
340600,0
343825,0
267711,1
265716,1
