,Status
258338,1
71209,1
325219,0
366865,0
277223,0
87325,1
434974,0
267835,1
158849,1
177636,0
290461,1
362756,0
165070,0
130317,0
276334,0
376064,0
363025,0
168104,1
12060,1
11830,1
313464,0
20665,0
34572,1
15187,0
405438,0
373095,0
444503,0
217651,0
75209,1
402215,0
184318,1
170746,0
247999,1
199940,1
214536,1
241206,1
190217,1
256500,1
414755,0
391934,0
338805,0
447220,0
413300,0
170516,0
393751,0
42305,1
227790,0
171485,0
199976,1
352242,0
178390,1
334323,0
460470,0
229803,1
187608,0
169251,1
206619,1
320037,0
11378,0
185713,1
28571,0
83479,1
388415,0
178311,1
363367,0
395866,0
146027,1
249293,1
200504,1
56231,0
281317,1
376504,0
360442,0
85487,0
387678,0
299620,0
65116,1
313706,0
204499,0
84299,1
347001,0
397160,0
102513,1
455208,0
107974,1
367674,0
304985,0
49275,1
19370,1
227119,1
459023,0
108455,1
103272,1
422215,0
312234,0
430462,0
326025,0
381090,0
366048,0
93881,0
174503,1
92752,1
91768,1
402979,0
415213,0
37921,0
17267,1
85106,1
286661,1
238316,1
199895,1
341558,0
31995,1
310476,0
92767,1
291796,1
328487,0
210504,1
393951,0
415865,0
371073,0
294959,0
4098,0
220543,0
82756,1
338924,0
153609,1
286958,1
134066,1
220608,1
106,0
305004,0
354617,0
289552,0
412160,0
439388,0
86909,1
242277,1
301225,0
47183,1
222334,1
377232,0
223070,0
431985,0
102325,1
136974,0
422583,0
173150,1
22162,1
185561,1
20162,1
161690,1
390998,0
385691,0
80957,1
310897,0
193512,1
36377,1
389186,0
441400,0
197981,1
236452,1
273739,1
390392,0
414284,0
262328,1
436330,0
183972,1
378408,0
323527,0
368080,0
444188,0
328635,0
18153,1
215337,0
455637,0
106250,1
17691,0
75170,1
56391,1
97925,1
166162,1
28781,1
420815,0
442994,0
29614,1
6704,1
146818,1
113419,1
297164,0
409426,0
318424,0
326121,0
353398,0
234928,1
116009,1
444196,0
444711,0
162940,1
413344,0
264672,1
133892,1
300949,0
78840,1
144104,0
40355,0
130068,1
402705,0
344497,0
36829,1
325836,0
146852,0
138589,0
423138,0
282893,1
155009,1
141061,1
115450,1
353268,0
157850,0
122022,1
30490,1
119899,0
115930,0
243260,1
106660,0
116173,1
413774,0
441806,0
347007,0
417675,0
137213,1
58118,1
247292,0
245255,1
24573,1
153974,0
238217,0
185864,1
337944,0
182389,1
220507,1
8489,0
115534,1
384152,0
142164,0
102294,1
9454,1
449170,0
418773,0
334605,0
114071,0
230357,1
15204,1
148251,1
196099,1
449637,0
42657,1
265183,1
428270,0
246770,1
184864,0
303937,0
42781,1
73050,1
293601,0
175844,1
167019,1
138625,1
413670,0
161193,1
376626,0
333123,0
388548,0
310675,0
417091,0
265201,1
272180,1
175949,1
291877,1
221053,1
101749,0
302956,0
279769,1
398382,0
253594,1
51492,1
386125,0
419678,0
417178,0
99942,1
330402,0
267117,1
286280,0
102655,1
390650,0
120325,1
208035,1
227820,1
311446,0
286755,1
434223,0
163402,0
390077,0
335013,0
86919,0
335820,0
333635,0
169206,1
266965,0
214378,1
112650,0
261530,1
393923,0
288813,1
131002,1
12174,0
191666,1
428760,0
57885,1
169214,1
9566,1
72202,1
86496,1
292328,1
28206,1
360718,0
247571,1
2501,1
187827,1
306322,0
328152,0
208538,1
242438,1
51385,1
269058,0
142441,1
280203,1
287442,1
448380,0
20147,0
209450,0
423481,0
174363,1
20538,1
44173,1
13757,1
100371,1
443589,0
76605,1
154823,0
404660,0
398804,0
437692,0
319609,0
440227,0
134215,1
212468,0
102069,1
172372,1
149713,1
82160,1
370752,0
68098,1
251572,0
309725,0
68957,1
139966,1
248680,0
70359,1
101810,1
165827,1
415950,0
359284,0
7047,1
402952,0
145497,1
361244,0
183812,1
228893,1
408967,0
382984,0
12860,1
142872,1
137873,1
272400,1
157036,1
346200,0
4866,1
173996,1
69774,1
240180,1
163479,0
171196,1
234529,1
241189,0
124568,1
379304,0
216286,1
86079,0
297340,0
451071,0
212682,1
161481,1
411432,0
440071,0
86096,0
218288,1
11525,1
402971,0
423041,0
156621,1
199431,1
23944,1
112798,1
266893,0
272226,1
174269,0
188249,1
214502,0
321999,0
331458,0
176596,1
26669,1
8982,1
113734,1
227543,1
268520,0
244959,1
200650,1
422313,0
73475,1
455324,0
423889,0
428757,0
184672,1
386953,0
415111,0
338751,0
4233,1
442888,0
352963,0
221766,1
195851,1
329535,0
193064,1
347284,0
63480,0
182045,0
261752,1
286150,1
230909,1
23979,1
406963,0
138259,1
112639,1
365815,0
437956,0
164325,1
210441,1
321503,0
154966,1
376978,0
262260,1
121409,1
143520,1
431208,0
422843,0
294114,1
49054,0
397314,0
310898,0
266644,1
403886,0
290880,1
315024,0
83811,1
402573,0
185888,1
56935,1
345050,0
295723,1
353869,0
127723,1
161869,1
433341,0
217318,1
364621,0
445211,0
120127,1
312523,0
344745,0
56115,1
140926,1
336811,0
190917,0
196524,1
386224,0
255134,1
173878,1
247721,0
261994,1
227273,1
283573,1
62199,1
161283,1
35577,1
138479,0
98474,1
269106,1
356624,0
26535,1
300536,0
161542,1
448045,0
356901,0
201822,1
283488,0
49144,1
26910,1
322186,0
443863,0
48919,1
271287,1
344295,0
242824,0
322510,0
69402,1
250142,1
443006,0
174424,1
36103,1
118095,0
20063,0
237681,1
244631,0
336699,0
109760,1
211018,1
166867,1
308895,0
295056,1
107652,1
341865,0
306111,0
129795,1
145708,0
110730,1
169972,1
413995,0
186080,1
272318,1
451512,0
28378,1
357510,0
215574,0
21458,1
225028,0
374142,0
52953,1
183739,0
317197,0
258765,0
363010,0
157643,1
378241,0
158335,1
190786,1
400005,0
303605,0
185700,1
231059,1
190350,0
216026,1
330670,0
256008,1
9392,0
23437,1
30922,0
295768,1
120016,0
46503,1
210348,1
85833,1
273116,1
428182,0
260201,1
147915,1
342148,0
287159,1
308420,0
70017,1
8047,0
280635,1
33102,0
65865,1
135163,1
236261,1
200017,1
41148,1
207233,1
40643,1
172370,1
169861,1
303734,0
430975,0
1386,1
183357,1
317857,0
370523,0
135868,1
194220,0
87651,0
68877,0
217066,1
174628,1
183763,1
919,1
431198,0
352134,0
78862,1
105890,1
291728,1
91961,0
98773,0
22600,0
64577,1
126663,1
74121,1
49818,1
339155,0
295913,1
170802,0
150759,0
214312,1
187573,0
201768,1
264322,1
213211,1
356148,0
416397,0
18149,1
331644,0
359413,0
73939,1
382453,0
447958,0
283062,1
350692,0
286789,1
267677,1
279085,1
223680,1
272485,1
430240,0
419746,0
141830,1
172625,1
208944,1
349295,0
353298,0
62530,0
416561,0
103209,0
233367,1
216227,1
447375,0
214961,1
424609,0
443079,0
424820,0
405532,0
88689,1
279121,0
232754,1
272098,1
311844,0
416476,0
121179,1
340223,0
426925,0
9923,1
132727,1
181193,1
175587,1
445567,0
87871,1
438635,0
213141,1
382242,0
79959,1
214268,0
159684,1
335858,0
363642,0
296928,0
155079,1
383673,0
94753,1
24395,0
381069,0
328281,0
128442,0
318904,0
213204,0
161081,1
214695,1
422388,0
147699,1
227288,1
205476,0
167718,1
63768,0
53687,1
453739,0
234465,1
37697,1
271464,0
186714,1
196920,1
427666,0
361487,0
315146,0
316754,0
15545,1
110058,1
237430,1
344540,0
419666,0
243271,0
165351,0
100468,1
222917,1
116265,1
437825,0
293120,0
37782,1
209306,1
268654,1
225459,0
248687,1
338413,0
78415,1
362289,0
375063,0
190492,1
129297,1
336519,0
228799,1
27826,1
213118,1
186721,0
51481,1
445945,0
317547,0
295598,1
440125,0
33793,1
184168,1
135747,1
425170,0
116846,1
6232,1
278757,1
318990,0
156323,1
385202,0
66184,1
446250,0
277553,0
51341,0
208275,1
101338,1
97408,1
7102,0
229146,1
455983,0
51296,1
98308,1
69702,1
363604,0
216161,1
56902,0
181269,1
24252,0
179014,1
254956,1
61229,1
184836,0
451470,0
433808,0
451458,0
185812,1
30543,1
382494,0
230550,1
11559,0
389820,0
356823,0
308702,0
435595,0
377872,0
246270,0
301753,0
241730,1
72050,1
226788,1
378585,0
382333,0
427552,0
217455,0
407009,0
326987,0
207542,1
212406,1
200150,0
182346,0
168562,1
56263,0
138822,0
378910,0
374209,0
259838,1
392183,0
410544,0
390513,0
100133,1
370659,0
109826,1
286491,0
128661,0
417466,0
414904,0
120824,1
408257,0
138404,1
456046,0
234657,1
258800,1
130378,0
234361,1
159772,0
408908,0
451881,0
330197,0
118210,1
228764,0
281714,1
185627,0
327558,0
437943,0
291532,1
10159,1
369772,0
11304,1
57656,1
315048,0
387332,0
178156,1
188885,1
310241,0
405306,0
349206,0
119823,1
222847,1
275505,1
45931,1
230889,1
222023,1
1107,1
370972,0
108575,1
183313,1
369704,0
109175,1
91869,1
312932,0
25596,1
420026,0
439650,0
270019,0
435970,0
51859,1
799,1
365825,0
256578,1
199588,1
242689,1
301843,0
14201,1
139437,1
121692,1
327044,0
289024,0
11158,1
218846,1
229595,0
92445,1
296542,1
236660,1
348202,0
355355,0
93413,1
381529,0
135049,0
320250,0
251189,0
303367,0
253115,1
298023,1
97919,1
272766,0
425746,0
339697,0
106985,1
307970,0
117345,1
170626,1
132279,1
401600,0
264294,1
154103,1
111936,0
78411,1
123077,1
137420,1
197376,0
287588,1
407912,0
90704,1
237439,1
334776,0
275,0
202000,1
222350,1
199601,1
219,1
147547,1
345184,0
21657,0
326811,0
146549,1
183524,1
233084,1
22471,1
126434,1
269346,1
70469,1
269858,1
110426,1
54846,0
368001,0
2911,1
244570,0
173702,0
396597,0
185872,1
343834,0
274023,1
199830,1
177486,0
401754,0
274790,1
264980,1
336188,0
236244,1
359298,0
374698,0
22863,1
227189,1
15662,1
326061,0
437480,0
444450,0
389420,0
218775,1
267819,0
291317,1
431651,0
195458,1
25823,1
443551,0
104210,1
25959,1
406015,0
2022,0
237655,1
66088,1
165964,0
305549,0
237162,0
133117,1
154937,1
111547,1
173288,1
257456,1
252013,1
89070,0
341664,0
402689,0
8153,1
12942,1
2617,1
2569,0
35350,1
374971,0
102144,0
299218,1
37471,1
15491,1
400901,0
327029,0
36452,0
87482,1
239981,1
442620,0
328528,0
286597,0
207700,1
55741,1
332766,0
292414,1
272785,0
41861,1
163884,1
191566,1
420578,0
279552,0
205925,0
455114,0
152301,1
279567,1
248677,1
77092,0
73482,1
